x1,x2
3.272090849,10.05929273
1.75861619,7.422297213
-2.5105053,-8.17463357
-0.242143734,0.162736523
-1.009247733,-2.322659848
0.994382491,3.301832589
3.005227658,5.310003727
-3.949312287,-6.340532737
3.214421941,8.623031344
3.4108633,8.311160017
-1.454937556,-2.146568134
-0.699305374,-2.977426512
0.722392184,2.559911652
2.008247308,3.974628841
2.42469757,3.291341356
2.578841506,6.045228549
-1.108712364,-1.636785295
-0.70697515,-0.029747183
4.563446575,12.11155773
0.729713673,3.611915733
3.497220542,10.60600863
-2.236546837,-4.931705338
1.223236152,1.717322928
0.883616846,2.577391709
4.634684658,13.03579715
-4.14097305,-4.674583354
0.004988916,0.758353471
0.215896765,0.23804596
-4.098339978,-10.23797261
4.046664797,10.4370128
3.843889385,8.73346735
-0.610103332,-2.575783836
2.817226129,5.96529593
-3.515349771,-9.689609958
1.198159273,4.256297739
-2.393763206,-4.135513337
-0.543437886,3.175609067
3.439995115,5.161134187
-3.037950813,-3.134888261
-1.961483772,-2.635687923
-0.167054323,0.831098537
-1.621879561,-0.810431093
2.984858295,9.356684314
4.874875752,8.607627666
-3.409524453,-3.181244487
-2.631202168,-6.682410618
2.022366327,2.89650285
-1.245283373,-2.83568691
4.737049027,11.94702242
4.723055557,8.306189728
1.436980494,4.543391227
3.600988769,9.025742728
-0.98116602,-0.654091665
1.31930798,4.747757355
4.852366394,8.359041411
0.59477406,4.204721492
4.335919158,9.898878877
2.20343206,6.866965855
-0.159614832,-1.286253225
1.390310927,3.884684967
3.876368659,10.50793606
-3.012632499,-2.996982916
-1.04633726,-1.261371342
4.921753025,7.136442897
-0.976483831,-3.146609081
1.588564811,4.614384877
4.01348123,10.61545416
4.953817765,11.83388392
1.531632811,2.838005573
-3.915635721,-2.342471822
-4.638859692,-8.133024167
1.18091239,5.092853574
0.671443619,1.511494305
4.619646578,8.009416944
2.461054694,7.292614244
1.625160984,6.325668399
0.233133184,5.110689425
-2.401057185,-4.860091356
4.619937669,6.983941872
0.402040375,5.038685614
-4.697298366,-7.866323248
1.963144634,2.671996897
0.197161579,0.27597144
-4.409694443,-9.4370792
3.900362332,11.12273324
-1.697977575,-1.211744611
-2.702988021,-3.920480714
-3.86051358,-6.240072191
-1.890772865,-4.424546529
-2.715676779,-2.445129305
1.519971672,4.732732793
-4.338398754,-8.199064563
-2.245686201,-3.860798213
-2.181797624,-3.567065248
3.800662597,6.827238907
-0.556696413,1.369361369
2.559141209,8.90269816
1.032963758,8.013728095
2.832659374,7.673157233
-3.860693613,-8.366348334
