x1,x2
3.813452044,0.102521403
1.611339718,0.837191261
7.581124313,-1.366238929
8.711111219,-1.29490211
3.507767449,1.51841329
6.855357087,-0.989089921
2.941486338,1.082936566
5.306293039,0.166476744
8.324233863,-1.374297571
5.974901919,-0.451010272
3.353113307,1.010268186
2.992250233,0.977469242
4.525925416,0.34082394
4.226456532,0.308738072
3.59606318,0.989005811
5.583191999,-0.613267539
7.425453657,-1.237818477
4.243347836,0.675311915
4.293557886,0.935401605
1.248727587,0.590622986
0.244340161,0.00139756
2.901852651,1.090715185
3.175205829,1.233056892
6.53690134,-0.532031728
9.569359241,-0.186246304
9.357308728,-0.583251157
4.578863339,0.450459855
2.404783968,0.974440833
7.638979443,-0.583104988
7.593273831,-1.420746926
7.40648065,-0.955904626
7.436883415,-0.612297933
1.059204167,0.468985473
6.815604305,-1.096405524
4.632605786,-0.051294388
2.121632053,0.888256265
0.985187377,0.520072858
8.235744739,-0.854014703
1.750097374,0.626029641
1.635699098,0.880894715
6.659872164,-1.045045432
8.943893754,-0.726552577
5.165582084,-0.355301835
7.02702307,-1.040908519
1.535903766,1.893030202
9.534570699,0.733972278
5.408840812,0.090009005
6.797338982,-0.667936639
0.36563018,-0.155724426
8.092038513,-1.106984263
7.486188718,-1.185784047
1.20187018,0.845993535
5.250451648,-0.011818628
3.258336288,0.921158906
5.464494399,-0.389810323
3.988807524,0.315705509
4.150933866,0.510132781
1.807377603,1.248535865
2.553867405,1.127635657
0.205357747,0.182981988
9.236756126,-0.26414517
6.53699889,-0.64718778
9.32613572,-0.89579927
1.635123685,0.861578759
9.210972559,-0.603489012
7.946578854,-1.571099357
5.773941967,-0.865907965
4.400355958,0.271950909
2.576137367,1.246485096
7.519463939,-1.068713063
2.286694821,1.069707517
0.641870874,0.12306127
7.673295108,-1.641268746
6.712021854,-0.851745571
7.152125148,-1.261561611
6.420608284,-0.426925167
4.190482936,1.007513882
3.907620822,0.522218431
8.161401029,-0.557026904
3.174278637,1.197684108
8.145397729,-1.343412577
7.890735149,-0.98002133
8.522638903,-0.722239185
5.056366176,0.121489851
6.356613889,-0.549816699
9.508944154,-0.101348719
4.43964155,0.548374025
0.600188198,0.274460579
8.66749897,-0.629021671
6.311887343,-1.409930625
3.550736519,0.439366085
9.970032716,0.341761799
2.24171499,0.788639045
6.52451073,-0.7197052
6.049906419,-0.160422469
3.872454315,0.3839908
1.421871593,0.491414512
0.251349857,0.009456316
4.211122538,0.607934867
1.841002894,0.854065603
