x1,x2,x3
1.896378401,9.20790108,256.2951806
-3.681693345,4.982279295,65.18349287
-3.764991677,2.776111223,19.16005689
-3.090971468,6.525199607,121.1523688
-3.542679005,9.172988038,247.2265939
0.850436153,5.098394535,80.38006549
-4.266383099,9.741914838,279.9005085
3.223262222,1.972789421,19.97636269
2.229029733,1.111849838,5.712761964
4.25858038,2.973542934,34.38855521
-0.073614015,3.964185356,48.78036137
1.548828984,4.207556833,56.78463265
3.90123478,3.114753577,41.43792995
0.385255745,6.938431709,145.1002346
-2.177948354,0.918718333,-4.927494721
4.759575179,4.02088619,58.90989425
-4.635744845,2.95180804,15.04438468
-1.737554269,3.06496779,24.80584342
4.730136239,1.055611307,14.95930992
-1.349673747,5.938276046,103.7063772
-1.908503811,2.827275162,20.762724
-3.790876154,1.552216209,-0.748063737
4.15765704,0.006586676,8.022599368
-3.645217943,2.835954171,16.63133055
-1.678821082,5.50810875,82.06217994
3.974798924,8.709021915,236.2773363
-0.003512222,0.422534253,2.509075448
1.152882422,9.047219815,245.2670581
0.831329681,1.309740864,3.764986027
1.982539266,8.337289481,213.7382888
-4.706676572,8.004683749,179.7964874
0.278826877,9.17880092,249.9500085
-4.679271536,1.373036584,-2.124902283
3.271423228,5.047323176,81.66069545
-1.600137935,4.049584801,48.48694134
3.467109589,1.735721615,13.38787892
-2.539304329,5.751836125,92.94354281
0.814912524,6.062179326,112.36327
4.376768791,2.144457404,23.64832855
-4.522127076,5.199322551,72.98987944
-4.460223408,9.891858096,285.009037
-4.793819659,4.899151624,61.95781068
1.814785142,6.948732112,147.3257705
0.986285266,4.114218274,53.7139089
-3.859699655,0.347767401,-8.130238098
2.962453507,2.92831556,32.49323415
1.178505871,8.014417378,197.2250812
-4.29786476,3.465019906,22.92469552
-4.307210274,0.833159448,-2.922996271
-3.639926114,5.111063709,69.82494374
2.888913197,3.668334079,48.78076754
-4.076015421,7.394795049,159.0001347
-2.62131208,5.247401639,74.42523153
-2.563520874,8.045208775,189.4029876
-3.951777873,8.16911179,199.2321264
3.583527602,1.894714817,17.50763447
1.981997662,1.236934569,9.526581832
2.337421333,8.20996479,207.5471785
1.505306245,6.3789762,127.6204287
0.162705658,0.161198019,2.58439413
-1.736118649,8.959546276,235.4552699
1.617761968,5.153750571,82.0419605
-3.824345154,5.445219383,81.98899344
-3.521825858,6.064422082,103.1711871
-4.802353363,7.604362178,168.9442151
4.642917303,8.553468719,229.6486069
4.70372902,3.828684483,54.25896809
-3.761394929,0.846491886,-7.048496307
-0.325899732,7.338732988,158.3042009
1.566940033,3.319893326,37.78724059
-2.098144334,8.397495349,206.9629682
2.545366397,3.71723308,47.84250374
0.581180514,8.2821527,205.2815725
-0.722074045,1.76518629,9.695407942
-2.328059427,1.29519861,-3.250473375
2.537360741,8.798835824,240.466624
3.98376325,0.440791285,10.2434187
2.28444034,6.867200185,146.2645055
-0.931698653,7.337729049,157.3412024
4.383158403,4.371724372,65.30716737
-2.445725451,3.798389169,38.90041856
0.331632406,9.796574398,290.9974535
4.547548704,3.989934226,54.78673957
-2.322524636,4.401869143,56.07460009
-2.499153794,1.568078875,7.914552557
4.276727202,3.260342841,39.45226642
-4.314176514,3.140619287,21.89964653
-2.005996134,8.945006639,234.7128453
0.915835342,2.470241793,16.70403974
-2.967008546,3.106790159,25.96345639
1.358831989,4.08868908,54.2580737
2.983702578,7.080108941,155.329839
0.017010524,1.436375951,6.450323428
1.508121359,8.713220666,230.3172715
2.959549856,0.831558968,5.070104981
-2.666262319,4.617378384,52.8633525
1.008389384,0.303890237,2.198891381
-3.875376216,7.532005327,161.5176284
0.157656532,7.000426695,146.179943
3.378406909,2.145122462,18.86952822
